"Week","Tract 18 Mean","Week","Tract 27 Mean","Week","Tract 28 Mean","Week","Tract 37 Mean","Week...9","Tract 44.01 Mean","Week...11","Tract 44.02 Mean"
202149,65.7068452380952,202149,63.5059523809524,202149,69.281746031746,202149,74.2599206349206,202149,79.6428571428571,202149,77.9017857142857
202150,41.5401785714286,202150,39.1235119047619,202150,41.718253968254,202150,45.8055555555556,202150,49.0416666666667,202150,47.4375
202151,51.9318181818182,202151,49.6107784431138,202151,53.2943548387097,202151,58.25,202151,62.3353658536585,202151,60.2349397590361
202152,26.45625,202152,24.7229166666667,202152,24.7944444444444,202152,28.2527777777778,202152,28.7,202152,28.0208333333333
202200,41.3020833333333,202200,41.2135416666667,202200,46.8611111111111,202200,52.7083333333333,202200,61.4791666666667,202200,55.0625
202201,48.8199404761905,202201,47.8660714285714,202201,51.7896825396825,202201,56.3531746031746,202201,58.4702380952381,202201,58.6934523809524
202202,89.1770833333333,202202,91.9032738095238,202202,100.781746031746,202202,106.416666666667,202202,119.934523809524,202202,112.604166666667
202203,83.4360119047619,202203,84.7857142857143,202203,95.1845238095238,202203,100.005952380952,202203,111.803571428571,202203,106.205357142857
202204,74.6889880952381,202204,75.4389880952381,202204,86.8174603174603,202204,91.6448412698413,202204,103.714285714286,202204,97.7648809523809
202205,58.8586309523809,202205,58.3869047619048,202205,64.8214285714286,202205,67.6468253968254,202205,76.2023809523809,202205,71.3630952380952
202206,72.6964285714286,202206,74.3616071428571,202206,84.3888888888889,202206,89.031746031746,202206,100.613095238095,202206,94.7529761904762
202207,42.3764880952381,202207,42.2604166666667,202207,46.0039682539683,202207,49.1964285714286,202207,53.5773809523809,202207,51.4791666666667
202208,35.7351190476191,202208,33.6622023809524,202208,35.0873015873016,202208,37.5634920634921,202208,39.7678571428571,202208,37.8125
202209,34.3601190476191,202209,31.952380952381,202209,34.984126984127,202209,35.9642857142857,202209,42.3154761904762,202209,37.125
202210,30.7395833333333,202210,29.8645833333333,202210,29.2083333333333,202210,31.5734126984127,202210,32.3630952380952,202210,31.2857142857143
202211,25.4940476190476,202211,23.8482142857143,202211,22.7361111111111,202211,25.2718253968254,202211,23.6190476190476,202211,24.4315476190476
202212,24.8065476190476,202212,23.2068452380952,202212,22.2162698412698,202212,23.4464285714286,202212,23.7142857142857,202212,22.8928571428571
202213,29.1875,202213,27.8139880952381,202213,28.1488095238095,202213,31.2876984126984,202213,32.2797619047619,202213,31.7738095238095
202214,27.5654761904762,202214,27.4806547619048,202214,26.593253968254,202214,29.2823061630219,202214,28.3511904761905,202214,28.4298507462687
202215,20.9627976190476,202215,19.375,202215,17.859126984127,202215,19.5376984126984,202215,17.5952380952381,202215,18.5744047619048
202216,21.4017857142857,202216,20.1220238095238,202216,19.1785714285714,202216,21.1626984126984,202216,20.2440476190476,202216,20.952380952381
